title,url_2022,url_2026,score,rank,popularity,has_v2022,has_v2026,v2022_saturation_mean,v2022_brightness_mean,v2022_contrast_rms,v2022_edge_density,v2022_color_entropy,v2026_saturation_mean,v2026_brightness_mean,v2026_contrast_rms,v2026_edge_density,v2026_color_entropy,diff_edge,diff_sat,diff_bright,diff_entropy,cover_changed
Daytime Star,https://webtoon-phinf.pstatic.net/20220207_32/1644211007856NvG8U_JPEG/3DaytimeStar_thumbnail_desktop.jpg?type=a210,https://myanimelist.net/images/manga/2/265157l.jpg,8.34,326.0,1991,True,True,26.5617,220.0633,74.0001,7.9955,4.4932,81.3262,199.2535,75.1585,12.6959,7.7174,4.7004,54.7645,20.809799999999996,3.2242002,True
The Spark in Your Eyes,https://webtoon-phinf.pstatic.net/20210806_175/1628203971299zqX5f_JPEG/4The+Spark+in+Your+Eyes_desktop_thumbnail.jpg?type=a210,https://myanimelist.net/images/manga/2/262618l.jpg,8.24,466.0,2990,True,True,34.8246,220.6518,77.6912,8.0363,4.2988,112.6867,180.9775,77.2331,14.0221,7.8608,5.985799999999999,77.8621,39.67430000000002,3.5619998,True
The Girl Downstairs,https://webtoon-phinf.pstatic.net/20210329_288/1616995182175btF5c_JPEG/0The-Girl-Downstirs_ipad.jpg?type=a210,https://myanimelist.net/images/manga/1/286354l.jpg,7.43,3939.0,4132,True,True,21.9431,217.0346,76.3028,8.3447,4.1075,31.2961,207.7729,61.5277,7.4391,7.0232,0.9055999999999997,9.352999999999998,9.261700000000019,2.9157,True
Pyramid Game,https://webtoon-phinf.pstatic.net/20210217_167/1613520848038uik83_PNG/3PyramidGame_desktop_thumbnail.png?type=a210,https://myanimelist.net/images/manga/1/262128l.jpg,7.72,1906.0,9544,True,True,23.1644,242.5986,43.9623,6.6599,3.4269,148.057,156.8057,81.6168,8.7788,7.6835,2.1189,124.89259999999999,85.7929,4.2566,True
The Nuna at Our Office,https://webtoon-phinf.pstatic.net/20210714_194/1626209057906meE6x_JPEG/1TheNunaAtOurOffice_desktop_thumbnail.jpg?type=a210,https://myanimelist.net/images/manga/2/263536l.jpg,6.97,10151.0,8382,True,True,17.3773,221.3164,71.1522,7.8866,3.7171,61.8186,183.4129,59.8922,10.4086,7.5992,2.5220000000000002,44.4413,37.90349999999998,3.8820999,True
Random Chat,https://webtoon-phinf.pstatic.net/20210329_150/1616995894809eEC1I_JPEG/5Random-Chat_ipad.jpg?type=a210,https://myanimelist.net/images/manga/1/259537l.jpg,7.29,5443.0,3080,True,True,25.324,218.1873,70.9322,6.3787,3.9821,48.3164,183.3996,79.1927,7.3172,6.728,0.9384999999999994,22.9924,34.7877,2.7459002,True
A DeadbEAT's Meal,https://webtoon-phinf.pstatic.net/20220208_300/1644267813166M9Gmv_JPEG/8ADeadbEATsMeal_thumbnail_desktop.jpg?type=a210,https://myanimelist.net/images/manga/1/261951l.jpg,6.51,17813.0,29519,True,True,50.1573,190.1444,93.6276,8.2585,5.1089,120.0458,180.0681,58.3591,9.4501,7.6726,1.191600000000001,69.8885,10.076300000000003,2.5636997,True
Our Time,https://webtoon-phinf.pstatic.net/20211111_187/1636560780850JWuBb_JPEG/8OurTime_desktop_thumbnail.jpg?type=a210,https://myanimelist.net/images/manga/3/331483l.jpg,,55141.0,60721,True,True,19.8827,231.7931,52.8637,10.6803,4.1016,39.6106,206.5727,56.1126,12.8222,7.0326,2.1418999999999997,19.727899999999998,25.220400000000012,2.9309998,True
"Take Me, I'm Yours",https://webtoon-phinf.pstatic.net/20210611_184/16233753129153mJBp_JPEG/1Take+Me2CI27m+Yours_desktop_thumbnail.jpg?type=a210,https://myanimelist.net/images/manga/1/263764l.jpg,6.99,9862.0,24566,True,True,42.6181,209.2004,85.2045,4.8866,4.7999,67.7761,188.7726,85.2132,5.8716,7.1631,0.9850000000000003,25.158,20.42779999999999,2.3631997,True
Moonlight Beauty Parlor,https://webtoon-phinf.pstatic.net/20210710_266/1625879973167vsKT3_JPEG/2Moonlight+Beauty+ParlorLaunch_desktop_thumbnail.jpg?type=a210,https://myanimelist.net/images/manga/3/331882l.jpg,,55210.0,63965,True,True,22.2906,216.297,81.5124,9.6848,3.9283,58.734,202.4772,83.8616,10.4513,6.7722,0.7665000000000006,36.4434,13.819799999999987,2.8439002,True
Mage Again,https://webtoon-phinf.pstatic.net/20211001_183/1633052336300nfEEb_JPEG/1MageAgain_desktop_thumbnail.jpg?type=a210,https://myanimelist.net/images/manga/3/267218l.jpg,7.23,6208.0,20097,True,True,58.9998,196.9601,80.218,11.9864,5.2972,71.1298,172.8821,46.4256,4.7707,6.883,7.2157,12.130000000000003,24.078000000000003,1.5857997,True
